"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"TOKYOPLAST","Tokyo Plast International Limited","7(2)","PRITI HARESH SHAH","Promoters","Equity Shares","1213906","12.8",,"2266","281414","Buy","Equity Shares","1216172","12.8","26-Aug-2025","26-Aug-2025","30-Sep-2025","-","-","-","0","0","0","0","BSE","-","01-Oct-2025 17:28","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188753_1539825_01102025052822_WEB.xml"
"TOKYOPLAST","Tokyo Plast International Limited","7(2)","PRITI HARESH SHAH","Promoters","Equity Shares","1216305","12.81",,"381","47263","Buy","Equity Shares","1216686","12.81","02-Sep-2025","02-Sep-2025","30-Sep-2025","-","-","-","0","0","0","0","NSE","-","01-Oct-2025 17:28","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188753_1539825_01102025052822_WEB.xml"
"TOKYOPLAST","Tokyo Plast International Limited","7(2)","PRITI HARESH SHAH","Promoters","Equity Shares","1216686","12.81",,"94","11660","Buy","Equity Shares","1216780","12.81","02-Sep-2025","02-Sep-2025","30-Sep-2025","-","-","-","0","0","0","0","BSE","-","01-Oct-2025 17:28","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188753_1539825_01102025052822_WEB.xml"
"NATCOPHARM","Natco Pharma Limited","7(2)","SANJAY NANNAPANENI","Promoter Group","Equity Shares","326910","0.18",,"100000","80305214","Sell","Equity Shares","226910","0.13","29-Sep-2025","30-Sep-2025","01-Oct-2025","Market Sale","-","-","0","0","0","0","NSE","-","01-Oct-2025 17:18","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188751_1539797_01102025051759_WEB.xml"
"SMCGLOBAL","Smc Global Securities Limited","7(2)","Global Telecommunication Private Limited","Promoter Group","Equity Shares","Nil","0",,"370000","51444991","Buy","Equity Shares","370000","0.35","29-Sep-2025","30-Sep-2025","01-Oct-2025","Market Purchase","-","-","0","0","0","0","NSE","-","01-Oct-2025 16:56","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188749_1539767_01102025045641_WEB.xml"
"TOKYOPLAST","Tokyo Plast International Limited","7(2)","PRITI HARESH SHAH","Promoters","Equity Shares","1213738","12.78",,"168","124","Buy","Equity Shares","1213906","12.78","26-Aug-2025","26-Aug-2025","30-Sep-2025","-","-","-","0","0","0","0","NSE","-","01-Oct-2025 16:47","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188747_1539748_01102025044727_WEB.xml"
"TOKYOPLAST","Tokyo Plast International Limited","7(2)","PRITI HARESH SHAH","Promoters","Equity Shares","1221502","12.89",,"3300","123","Buy","Equity Shares","1224802","12.89","30-Sep-2025","30-Sep-2025","30-Sep-2025","-","-","-","0","0","0","0","NSE","-","01-Oct-2025 16:47","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188747_1539748_01102025044727_WEB.xml"
"TOKYOPLAST","Tokyo Plast International Limited","7(2)","PRITI HARESH SHAH","Promoters","Equity Shares","1221002","12.86",,"500","124","Buy","Equity Shares","1221502","12.86","25-Sep-2025","25-Sep-2025","30-Sep-2025","-","-","-","0","0","0","0","BSE","-","01-Oct-2025 16:47","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188747_1539748_01102025044727_WEB.xml"
"TOKYOPLAST","Tokyo Plast International Limited","7(2)","PRITI HARESH SHAH","Promoters","Equity Shares","1219652","12.85",,"1350","123","Buy","Equity Shares","1221002","12.85","25-Sep-2025","25-Sep-2025","30-Sep-2025","-","-","-","0","0","0","0","NSE","-","01-Oct-2025 16:47","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188747_1539748_01102025044727_WEB.xml"
"TOKYOPLAST","Tokyo Plast International Limited","7(2)","PRITI HARESH SHAH","Promoters","Equity Shares","1219580","12.84",,"72","124","Buy","Equity Shares","1219652","12.84","18-Sep-2025","18-Sep-2025","30-Sep-2025","-","-","-","0","0","0","0","BSE","-","01-Oct-2025 16:47","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188747_1539748_01102025044727_WEB.xml"
"TOKYOPLAST","Tokyo Plast International Limited","7(2)","PRITI HARESH SHAH","Promoters","Equity Shares","1219577","12.84",,"3","124","Buy","Equity Shares","1219580","12.84","17-Sep-2025","17-Sep-2025","30-Sep-2025","-","-","-","0","0","0","0","BSE","-","01-Oct-2025 16:47","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188747_1539748_01102025044727_WEB.xml"
"TOKYOPLAST","Tokyo Plast International Limited","7(2)","PRITI HARESH SHAH","Promoters","Equity Shares","1219328","12.84",,"249","124","Buy","Equity Shares","1219577","12.84","17-Sep-2025","17-Sep-2025","30-Sep-2025","-","-","-","0","0","0","0","NSE","-","01-Oct-2025 16:47","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188747_1539748_01102025044727_WEB.xml"
"TOKYOPLAST","Tokyo Plast International Limited","7(2)","PRITI HARESH SHAH","Promoters","Equity Shares","1217501","12.83",,"1827","124","Buy","Equity Shares","1219328","12.83","16-Sep-2025","16-Sep-2025","30-Sep-2025","-","-","-","0","0","0","0","NSE","-","01-Oct-2025 16:47","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188747_1539748_01102025044727_WEB.xml"
"TOKYOPLAST","Tokyo Plast International Limited","7(2)","PRITI HARESH SHAH","Promoters","Equity Shares","1217081","12.81",,"420","124","Buy","Equity Shares","1217501","12.81","09-Sep-2025","09-Sep-2025","30-Sep-2025","-","-","-","0","0","0","0","BSE","-","01-Oct-2025 16:47","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188747_1539748_01102025044727_WEB.xml"
"TOKYOPLAST","Tokyo Plast International Limited","7(2)","PRITI HARESH SHAH","Promoters","Equity Shares","1216780","12.81",,"301","124","Buy","Equity Shares","1217081","12.81","05-Sep-2025","05-Sep-2025","30-Sep-2025","-","-","-","0","0","0","0","BSE","-","01-Oct-2025 16:47","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188747_1539748_01102025044727_WEB.xml"
"TOKYOPLAST","Tokyo Plast International Limited","7(2)","PRITI HARESH SHAH","Promoters","Equity Shares","1216686","12.81",,"94","124","Buy","Equity Shares","1216780","12.81","02-Sep-2025","02-Sep-2025","30-Sep-2025","-","-","-","0","0","0","0","BSE","-","01-Oct-2025 16:47","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188747_1539748_01102025044727_WEB.xml"
"TOKYOPLAST","Tokyo Plast International Limited","7(2)","PRITI HARESH SHAH","Promoters","Equity Shares","1216305","12.81",,"381","124","Buy","Equity Shares","1216686","12.81","02-Sep-2025","02-Sep-2025","30-Sep-2025","-","-","-","0","0","0","0","NSE","-","01-Oct-2025 16:47","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188747_1539748_01102025044727_WEB.xml"
"TOKYOPLAST","Tokyo Plast International Limited","7(2)","PRITI HARESH SHAH","Promoters","Equity Shares","1212669","12.77",,"1069","123","Buy","Equity Shares","1213738","12.77","18-Aug-2025","18-Aug-2025","30-Sep-2025","-","-","-","0","0","0","0","BSE","-","01-Oct-2025 16:47","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188747_1539748_01102025044727_WEB.xml"
"TOKYOPLAST","Tokyo Plast International Limited","7(2)","PRITI HARESH SHAH","Promoters","Equity Shares","1224802","12.9",,"750","123","Buy","Equity Shares","1225552","12.9","30-Sep-2025","30-Sep-2025","30-Sep-2025","-","-","-","0","0","0","0","BSE","-","01-Oct-2025 16:47","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188747_1539748_01102025044727_WEB.xml"
"TOKYOPLAST","Tokyo Plast International Limited","7(2)","PRITI HARESH SHAH","Promoters","Equity Shares","1212668","12.76",,"1","121","Buy","Equity Shares","1212669","12.76","17-Aug-2025","17-Aug-2025","30-Sep-2025","-","-","-","0","0","0","0","BSE","-","01-Oct-2025 16:47","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188747_1539748_01102025044727_WEB.xml"
"TOKYOPLAST","Tokyo Plast International Limited","7(2)","PRITI HARESH SHAH","Promoters","Equity Shares","1213906","12.8",,"2266","124","Buy","Equity Shares","1216172","12.8","26-Aug-2025","26-Aug-2025","30-Sep-2025","-","-","-","0","0","0","0","BSE","-","01-Oct-2025 16:47","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188747_1539748_01102025044727_WEB.xml"
"TOKYOPLAST","Tokyo Plast International Limited","7(2)","PRITI HARESH SHAH","Promoters","Equity Shares","1216172","12.8",,"133","124","Buy","Equity Shares","1216305","12.8","29-Aug-2025","29-Aug-2025","30-Sep-2025","-","-","-","0","0","0","0","BSE","-","01-Oct-2025 16:47","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188747_1539748_01102025044727_WEB.xml"
"COSMOFIRST","COSMO FIRST LIMITED","7(2)","COSMO FILMS ESOP TRUST 2015","Other","Equity Shares","431113","1.64",,"75000","750000","Sell","Equity Shares","356113","1.36","29-Sep-2025","29-Sep-2025","30-Sep-2025","ESOP","-","-","0","0","0","0","NA","-","01-Oct-2025 16:40","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188745_1539731_01102025044024_WEB.xml"
"MUKANDLTD","Mukand Limited","7(2)","NEELIMA BAJAJ FAMILY TRUST","Promoter Group","Equity Shares","Nil","0",,"238711","31080172","Buy","Equity Shares","238711","0.17","29-Sep-2025","29-Sep-2025","01-Oct-2025","Off Market","-","-","0","0","0","0","NA","-","01-Oct-2025 16:29","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188742_1539710_01102025042944_WEB.xml"
"MUKANDLTD","Mukand Limited","7(2)","NEELIMA BAJAJ FAMILY TRUST","Promoter Group","Equity Shares","238711","0.17",,"238711","31080172","Sell","Equity Shares","Nil","0","29-Sep-2025","29-Sep-2025","01-Oct-2025","Off Market","-","-","0","0","0","0","NA","-","01-Oct-2025 16:29","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188742_1539710_01102025042944_WEB.xml"
"MUKANDLTD","Mukand Limited","7(2)","KUMUD NEELIMA FAMILY TRUST","Promoter Group","Equity Shares","50000","0.03",,"50000","6510000","Sell","Equity Shares","Nil","0","29-Sep-2025","29-Sep-2025","01-Oct-2025","Off Market","-","-","0","0","0","0","NA","-","01-Oct-2025 16:29","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188742_1539710_01102025042944_WEB.xml"
"MUKANDLTD","Mukand Limited","7(2)","KUMUD NEELIMA FAMILY TRUST","Promoter Group","Equity Shares","Nil","0",,"50000","6510000","Buy","Equity Shares","50000","0.03","29-Sep-2025","29-Sep-2025","01-Oct-2025","Off Market","-","-","0","0","0","0","NA","-","01-Oct-2025 16:29","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188742_1539710_01102025042944_WEB.xml"
"MUKANDLTD","Mukand Limited","7(2)","NIMISHA BAJAJ FAMILY TRUST","Promoter Group","Equity Shares","Nil","0",,"238711","31080172","Buy","Equity Shares","238711","0.17","29-Sep-2025","29-Sep-2025","01-Oct-2025","Off Market","-","-","0","0","0","0","NA","-","01-Oct-2025 16:29","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188742_1539710_01102025042944_WEB.xml"
"MUKANDLTD","Mukand Limited","7(2)","KUMUD NIMISHA FAMILY TRUST","Promoter Group","Equity Shares","50000","0.03",,"50000","6510000","Sell","Equity Shares","Nil","0","29-Sep-2025","29-Sep-2025","01-Oct-2025","Off Market","-","-","0","0","0","0","NA","-","01-Oct-2025 16:29","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188742_1539710_01102025042944_WEB.xml"
"MUKANDLTD","Mukand Limited","7(2)","NIMISHA BAJAJ FAMILY TRUST","Promoter Group","Equity Shares","238711","0.17",,"238711","31080172","Sell","Equity Shares","Nil","0","29-Sep-2025","29-Sep-2025","01-Oct-2025","Off Market","-","-","0","0","0","0","NA","-","01-Oct-2025 16:29","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188742_1539710_01102025042944_WEB.xml"
"MUKANDLTD","Mukand Limited","7(2)","KUMUD NIMISHA FAMILY TRUST","Promoter Group","Equity Shares","Nil","0",,"50000","6510000","Buy","Equity Shares","50000","0.03","29-Sep-2025","29-Sep-2025","01-Oct-2025","Off Market","-","-","0","0","0","0","NA","-","01-Oct-2025 16:29","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188742_1539710_01102025042944_WEB.xml"
"ORIENTBELL","Orient Bell Limited","7(2)","ALFA MERCANTILE LIMITED","Promoter Group","Equity Shares","114335","0.78",,"2142","619850","Buy","Equity Shares","116477","0.79","30-Sep-2025","30-Sep-2025","01-Oct-2025","Market Purchase","-","-","0","0","0","0","NSE","-","01-Oct-2025 16:20","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188739_1539680_01102025042058_WEB.xml"
"ORIENTBELL","Orient Bell Limited","7(2)","Freesia Investment and Trading Company Limited","Promoter Group","Equity Shares","667738","4.55",,"150","43290","Buy","Equity Shares","667888","4.55","30-Sep-2025","30-Sep-2025","01-Oct-2025","Market Purchase","-","-","0","0","0","0","NSE","-","01-Oct-2025 16:20","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188739_1539680_01102025042058_WEB.xml"
"THOMASCOOK","Thomas Cook  (India)  Limited","7(3)","IDBI Trusteeship Services Limited","-","Equity Shares","4669062","0.99",,"11400","1891488","Sell","Equity Shares","4657662","0.99","30-Sep-2025","30-Sep-2025","01-Oct-2025","ESOP","-","-","0","0","0","0","NA","-","01-Oct-2025 16:11","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188737_1539648_01102025041145_WEB.xml"
"PROZONER","Prozone Realty Limited","7(2)","Salil Chaturvedi Family Trust","Promoter Group","Equity Shares","11410312","7.48",,"102000","5059220","Sell","Equity Shares","11308312","7.41","29-Sep-2025","29-Sep-2025","30-Sep-2025","Market Sale","-","-","0","0","0","0","BSE","-","01-Oct-2025 15:59","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188730_1539624_01102025035927_WEB.xml"
"PROZONER","Prozone Realty Limited","7(2)","Salil Chaturvedi Family Trust","Promoter Group","Equity Shares","11460312","7.51",,"50000","2456305","Sell","Equity Shares","11410312","7.48","26-Sep-2025","26-Sep-2025","29-Sep-2025","Market Sale","-","-","0","0","0","0","BSE","-","01-Oct-2025 15:57","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188729_1539622_01102025035748_WEB.xml"
"FUSION","Fusion Finance Limited","7(2)","DEEPIKA GAMBHIR","-","Equity Shares","2475","0",,"2475","471883","Sell","Equity Shares","Nil","-","30-Sep-2025","30-Sep-2025","30-Sep-2025","Market Sale","-","-","0","0","0","0","NSE","-","01-Oct-2025 15:47","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188725_1539600_01102025034733_WEB.xml"
"FUSION","Fusion Finance Limited","7(2)","DEVESH SACHDEV","Promoters","Equity Shares","4633484","2.86",,"3183","611136","Sell","Equity Shares","4630301","-","30-Sep-2025","30-Sep-2025","30-Sep-2025","Market Sale","-","-","0","0","0","0","NSE","-","01-Oct-2025 15:47","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188725_1539600_01102025034733_WEB.xml"
"FUSION","Fusion Finance Limited","7(2)","Kamal Kumar Kaushik","Other","Equity Shares","12500","0.01",,"2500","480635","Sell","Equity Shares","10000","-","29-Sep-2025","30-Sep-2025","30-Sep-2025","Market Sale","-","-","0","0","0","0","NSE","-","01-Oct-2025 15:47","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188725_1539600_01102025034733_WEB.xml"
"CEATLTD","CEAT Limited","7(2)","CEAT Employees Welfare Trust","Other","Equity Shares","40000","0.01",,"20000","67919388","Buy","Equity Shares","60000","0.01","26-Sep-2025","29-Sep-2025","30-Sep-2025","Market Purchase","-","-","0","0","0","0","NSE","-","01-Oct-2025 15:43","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188720_1539590_01102025034344_WEB.xml"
"MEIL","Mangal Electrical Industries Limited","7(2)","ADHYAN MANGAL","Promoter Group","Equity Shares","1720","0.01",,"10905","5003044","Buy","Equity Shares","12625","0.05","29-Sep-2025","29-Sep-2025","01-Oct-2025","Market Purchase","-","-","0","0","0","0","NSE","-","01-Oct-2025 15:33","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188716_1539570_01102025033339_WEB.xml"
"AKSHOPTFBR","Aksh Optifibre Limited","7(2)","Dr. Kailash Shantilal Choudhari","Promoters","Equity Shares","4897020","3.01",,"190628","1429095","Sell","Equity Shares","4706392","2.89","29-Sep-2025","30-Sep-2025","01-Oct-2025","Market Sale","-","-","0","0","0","0","NSE","-","01-Oct-2025 15:18","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188714_1539530_01102025031829_WEB.xml"
"DBCORP","D.B.Corp Limited","7(2)","D B Power Limited","Promoter Group","Equity Shares","1481659","0.83",,"18341","4873297","Buy","Equity Shares","1500000","0.84","29-Sep-2025","29-Sep-2025","29-Sep-2025","Market Purchase","-","-","0","0","0","0","NSE","-","01-Oct-2025 15:12","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188709_1539513_01102025031233_WEB.xml"
"PRINCEPIPE","Prince Pipes And Fittings Limited","7(2)","TEJAL KISHOR MEHTA","-","Equity Shares","12044","0.01",,"3000","970053","Pledge Revoke","Equity Shares","9044","0.01","30-Sep-2025","30-Sep-2025","01-Oct-2025","-","-","-","0","0","0","0","NSE","-","01-Oct-2025 14:59","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188701_1539500_01102025025940_WEB.xml"
"PRINCEPIPE","Prince Pipes And Fittings Limited","7(2)","TEJAL KISHOR MEHTA","-","Equity Shares","12044","0.01",,"3000","970053","Sell","Equity Shares","9044","0.01","30-Sep-2025","30-Sep-2025","01-Oct-2025","Market Sale","-","-","0","0","0","0","NSE","-","01-Oct-2025 14:59","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188701_1539500_01102025025940_WEB.xml"
"PRINCEPIPE","Prince Pipes And Fittings Limited","7(2)","TEJAL KISHOR MEHTA","-","Equity Shares","15044","0.01",,"3000","990000","Sell","Equity Shares","12044","0.01","26-Sep-2025","26-Sep-2025","29-Sep-2025","Market Sale","-","-","0","0","0","0","NSE","-","01-Oct-2025 14:59","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188701_1539500_01102025025940_WEB.xml"
"PRINCEPIPE","Prince Pipes And Fittings Limited","7(2)","TEJAL KISHOR MEHTA","-","Equity Shares","15044","0.01",,"3000","990000","Pledge Revoke","Equity Shares","12044","0.01","26-Sep-2025","26-Sep-2025","29-Sep-2025","-","-","-","0","0","0","0","NSE","-","01-Oct-2025 14:59","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188701_1539500_01102025025940_WEB.xml"
"NIBE","NIBE Limited","7(2)","Nibe Ganesh Ramesh","Promoters","Equity Shares","7250139","50",,"11000","16260200","Buy","Equity Shares","7261139","50.07","30-Sep-2025","30-Sep-2025","30-Sep-2025","Market Purchase","-","-","0","0","0","0","NSE","-","01-Oct-2025 14:55","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188699_1539487_01102025025512_WEB.xml"
"NIBE","NIBE Limited","7(2)","Nibe Ganesh Ramesh","Promoters","Equity Shares","7077505","48.81",,"172634","243591753","Buy","Equity Shares","7250139","50","29-Sep-2025","29-Sep-2025","30-Sep-2025","Market Purchase","-","-","0","0","0","0","NSE","-","01-Oct-2025 14:55","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188699_1539487_01102025025512_WEB.xml"
"NIBE","NIBE Limited","7(2)","Nibe Ganesh Ramesh","Promoters","Equity Shares","7077505","48.81",,"172634","243591753","Buy","Equity Shares","7250139","50","29-Sep-2025","29-Sep-2025","30-Sep-2025","Market Purchase","-","-","0","0","0","0","NSE","-","01-Oct-2025 14:53","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188698_1539483_01102025025319_WEB.xml"
"NIBE","NIBE Limited","7(2)","Nibe Ganesh Ramesh","Promoters","Equity Shares","7250139","50",,"11000","16260200","Buy","Equity Shares","7261139","50.07","30-Sep-2025","30-Sep-2025","30-Sep-2025","Market Purchase","-","-","0","0","0","0","NSE","-","01-Oct-2025 14:53","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188698_1539483_01102025025319_WEB.xml"
"NIBE","NIBE Limited","7(2)","Nibe Ganesh Ramesh","Promoters","Equity Shares","7250139","50",,"11000","16260200","Buy","Equity Shares","7261139","50.07","30-Sep-2025","30-Sep-2025","30-Sep-2025","Market Purchase","-","-","0","0","0","0","NSE","-","01-Oct-2025 14:51","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188697_1539481_01102025025150_WEB.xml"
"NIBE","NIBE Limited","7(2)","Nibe Ganesh Ramesh","Promoters","Equity Shares","7077505","48.81",,"172634","243591753","Buy","Equity Shares","7250139","50","29-Sep-2025","29-Sep-2025","30-Sep-2025","Market Purchase","-","-","0","0","0","0","NSE","-","01-Oct-2025 14:51","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188697_1539481_01102025025150_WEB.xml"
"ASHAPURMIN","Ashapura Minechem Limited","7(2)","Chetan Navnitlal Shah","Promoters","Equity Shares","13638814","14.28",,"35000","0","Buy","Equity Shares","13673814","14.31","29-Sep-2025","29-Sep-2025","29-Sep-2025","Gift","-","-","0","0","0","0","NA","-","01-Oct-2025 14:43","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188696_1539469_01102025024349_WEB.xml"
"NDRAUTO","Ndr Auto Components Limited","7(2)","Ritu Relan","Promoter Group","Equity Shares","2982221","12.54",,"2982221","0","Sell","Equity Shares","Nil","0","26-Sep-2025","26-Sep-2025","29-Sep-2025","Gift","-","-","0","0","0","0","NA","-","01-Oct-2025 14:29","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188695_1539456_01102025022928_WEB.xml"
